0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,10,1963,28,32,25,0,0,0,0,0,0,2272,0,0,0,0,0,0,2467,3095,8,0,9,469,23,1737,65518,623,1547,9,2953,2524,5,0,6,934,19,3070,65529,790,1262,12,1013,29980,958,0,958,3,970,13,53144,590,14990,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,10,1963,26,31,24,0,0,0,0,0,0,2279,0,0,0,0,0,0,2373,3019,8,0,9,475,21,1712,20,612,1509,9,2876,2545,5,0,6,929,19,2850,65486,789,1272,12,1012,6516,958,0,958,3,970,13,16097,582,3258,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,10,1963,27,30,25,0,0,0,0,0,0,2291,0,0,0,0,0,0,2310,2989,8,0,9,481,21,1687,60,634,1494,10,2935,2605,5,0,6,913,19,2835,65514,777,1302,12,1012,32084,958,0,958,3,970,12,48864,595,48810,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,11,1963,27,30,24,0,0,0,0,0,0,2298,0,0,0,0,0,0,2411,3052,8,0,9,475,22,1713,65526,622,1526,9,2806,2534,5,0,6,938,18,2911,31,796,1267,12,1011,50896,958,0,958,3,970,12,44984,596,58216,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,11,1963,28,29,26,0,0,0,0,0,0,2298,0,0,0,0,0,0,2438,3084,8,0,9,464,22,1739,24,615,1542,9,2655,2511,5,0,6,915,17,2731,65517,786,1255,12,1013,30540,958,0,958,4,971,13,51167,605,15270,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,11,1963,27,30,25,0,0,0,0,0,0,2298,0,0,0,0,0,0,2321,2912,8,0,9,486,21,1634,14,638,1456,10,2970,2581,5,0,6,916,20,2871,65532,792,1290,12,1012,1414,958,0,958,4,971,14,1697,608,707,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,11,1963,28,30,25,0,0,0,0,0,0,2323,0,0,0,0,0,0,2370,2943,8,0,9,478,21,1659,4,627,1471,9,2895,2583,5,0,6,906,19,2863,6,785,1291,12,1013,17768,958,0,958,3,972,14,28204,594,8884,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,11,1963,27,31,25,0,0,0,0,0,0,2298,0,0,0,0,0,0,2546,3102,8,0,9,472,24,1833,65481,632,1551,10,2886,2587,5,0,6,918,19,2849,7,782,1293,12,1012,28296,958,0,958,4,971,12,29788,600,14148,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,11,1963,27,29,26,0,0,0,0,0,0,2291,0,0,0,0,0,0,2287,2922,8,0,9,456,21,1568,65501,607,1461,9,3002,2500,5,0,6,906,20,2888,65533,784,1250,12,1013,38852,958,0,958,3,971,13,48045,596,52194,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
